name,mean,var,seed
Rider Broncs,-1.73,0.239,
Oregon State Beavers,-1.77,0.513,
Siena Saints,-1.78,0.036,
Northwestern State Demons,-1.85,0.749,
Rice Owls,-1.86,0.916,
Georgia Southern Eagles,-1.88,0.104,
Buffalo Bulls,-2.11,0.929,
Northern Iowa Panthers,-2.11,0.052,
Florida State Seminoles,-2.14,0.365,
Minnesota Golden Gophers,-2.17,0.592,
Howard Bison,-2.26,0.985,16
George Washington Colonials,-2.26,0.277,
North Dakota State Bison,-2.34,0.643,
San Diego Toreros,-2.45,0.425,
South Carolina Gamecocks,-2.46,0.772,
Florida International Golden Panthers,-2.48,0.614,
Northern Arizona Lumberjacks,-2.57,0.059,
Murray State Racers,-2.57,0.678,
Sacramento State Hornets,-2.89,0.088,
Northern Colorado Bears,-2.90,0.830,
Milwaukee Panthers,-2.90,0.354,
Campbell Fighting Camels,-3.00,0.317,
La Salle Explorers,-3.02,0.091,
Georgetown Hoyas,-3.03,0.404,
Wofford Terriers,-3.11,0.377,
Mercer Bears,-3.20,0.574,
IPFW Mastodons,-3.30,0.558,
Jacksonville Dolphins,-3.38,0.687,
North Florida Ospreys,-3.53,0.976,
Jacksonville State Gamecocks,-3.56,0.907,
Robert Morris Colonials,-3.77,0.691,
Delaware Fightin Blue Hens,-3.84,0.601,
Southern Illinois-Edwardsville Cougars,-3.86,0.198,
Western Carolina Catamounts,-3.91,0.560,
Portland State Vikings,-3.98,0.161,
Texas-Arlington Mavericks,-3.98,0.215,
Alcorn State Braves,-4.01,0.971,
Northern Illinois Huskies,-4.17,0.985,
Maryland-Baltimore County Retrievers,-4.18,0.848,
Maryland-Eastern Shore Fighting Hawks,-4.25,0.806,
East Tennessee State Buccaneers,-4.29,0.305,
Winthrop Eagles,-4.44,0.343,
Idaho State Bengals,-4.49,0.377,
Southeast Missouri State Redhawks,-4.66,0.367,16
Rhode Island Rams,-4.68,0.015,
Morehead State Eagles,-4.71,0.778,
Niagara Purple Eagles,-4.73,0.061,
Texas-Rio Grande Valley Vaqueros,-4.76,0.738,
California Golden Bears,-4.80,0.351,
North Alabama Lions,-4.81,0.633,
Army Black Knights,-4.81,0.044,
Bellarmine Knights,-4.87,0.420,
Southeastern Louisiana Lions,-4.87,0.580,
Canisius Golden Griffins,-4.92,0.093,
South Carolina Upstate Spartans,-4.92,0.699,
Loyola (IL) Ramblers,-4.94,0.690,
Western Illinois Leathernecks,-4.98,0.791,
Southern Jaguars,-5.04,0.733,
Fairfield Stags,-5.10,0.071,
Prairie View Panthers,-5.26,0.450,
Nicholls State Colonels,-5.29,0.737,
California-San Diego Tritons,-5.41,0.041,
North Dakota Fighting Hawks,-5.42,0.670,
Southern Indiana Screaming Eagles,-5.60,0.199,
Lafayette Leopards,-5.60,0.246,
Boston University Terriers,-5.77,0.533,
American Eagles,-5.82,0.078,
Tennessee-Martin Skyhawks,-5.86,0.136,
Miami (OH) RedHawks,-5.95,0.410,
Georgia State Panthers,-5.98,0.555,
Illinois State Redbirds,-6.00,0.062,
Mount St. Mary's Mountaineers,-6.01,0.109,
Oakland Golden Grizzlies,-6.09,0.380,
Cal Poly Mustangs,-6.15,0.634,
Dartmouth Big Green,-6.18,0.150,
Maine Black Bears,-6.22,0.870,
Louisiana-Monroe Warhawks,-6.31,0.816,
Cal State Bakersfield Roadrunners,-6.34,0.325,
Texas Southern Tigers,-6.38,0.279,16
Arkansas State Red Wolves,-6.40,0.227,
Bowling Green State Falcons,-6.41,0.582,
Lehigh Mountain Hawks,-6.41,0.788,
New Hampshire Wildcats,-6.45,0.457,
Marist Red Foxes,-6.56,0.121,
Tennessee State Tigers,-6.61,0.270,
Louisville Cardinals,-6.64,0.377,
Tennessee Tech Golden Eagles,-6.66,0.531,
Valparaiso Beacons,-6.67,0.620,
Denver Pioneers,-6.78,0.793,
Chicago State Cougars,-6.78,0.308,
Coastal Carolina Chanticleers,-6.85,0.274,
Illinois-Chicago Flames,-6.86,0.572,
Texas-San Antonio Roadrunners,-6.87,0.279,
South Dakota Coyotes,-7.03,0.952,
Missouri-Kansas City Kangaroos,-7.10,0.714,
Jackson State Tigers,-7.14,0.509,
Idaho Vandals,-7.15,0.195,
High Point Panthers,-7.27,0.434,
Charleston Southern Buccaneers,-7.33,0.573,
Bucknell Bison,-7.57,0.322,
Texas A&M-Commerce Lions,-7.57,0.100,
Saint Peter's Peacocks,-7.58,0.594,
Tulsa Golden Hurricane,-7.72,0.687,
Manhattan Jaspers,-7.74,0.158,
Alabama A&M Bulldogs,-7.75,0.196,
Northeastern Huskies,-7.84,0.437,
Morgan State Bears,-7.88,0.418,
Binghamton Bearcats,-7.91,0.333,
Nebraska Omaha Mavericks,-7.99,0.513,
Fairleigh Dickinson Knights,-8.21,0.256,16
Merrimack Warriors,-8.29,0.634,
Western Michigan Broncos,-8.39,0.077,
North Carolina A&T Aggies,-8.50,0.745,
Eastern Michigan Eagles,-8.50,0.352,
Arkansas-Pine Bluff Golden Lions,-8.50,0.848,
William & Mary Tribe,-8.55,0.221,
Wagner Seahawks,-8.58,0.409,
Cal State Northridge Matadors,-8.77,0.013,
Austin Peay Governors,-8.88,0.921,
Citadel Bulldogs,-9.10,0.800,
Arkansas-Little Rock Trojans,-9.18,0.160,
Loyola (MD) Greyhounds,-9.20,0.379,
Stony Brook Seawolves,-9.44,0.338,
Central Michigan Chippewas,-9.62,0.441,
NJIT Highlanders,-9.68,0.138,
Sacred Heart Pioneers,-9.73,0.337,
Stonehill Skyhawks,-9.76,0.233,
McNeese State Cowboys,-9.99,0.747,
Central Arkansas Bears,-10.38,0.509,
New Orleans Privateers,-10.46,0.967,
Elon Phoenix,-10.52,0.058,
Coppin State Eagles,-10.68,0.515,
Incarnate Word Cardinals,-10.76,0.765,
Saint Francis (PA) Red Flash,-10.76,0.857,
Central Connecticut State Blue Devils,-10.82,0.553,
Presbyterian Blue Hose,-10.82,0.126,
Lindenwood Lions,-11.15,0.790,
Eastern Illinois Panthers,-11.28,0.147,
Albany (NY) Great Danes,-11.30,0.492,
Holy Cross Crusaders,-11.32,0.275,
Alabama State Hornets,-11.38,0.774,
Bethune-Cookman Wildcats,-11.64,0.925,
Columbia Lions,-11.84,0.329,
Hampton Pirates,-11.91,0.454,
South Carolina State Bulldogs,-11.94,0.398,
Monmouth Hawks,-12.08,0.855,
Evansville Purple Aces,-12.17,0.467,
Mississippi Valley State Delta Devils,-12.77,0.870,
Virginia Military Institute Keydets,-12.85,0.148,
Florida A&M Rattlers,-12.89,0.697,
Houston Christian Huskies,-13.05,0.866,
Delaware State Hornets,-13.24,0.450,
St. Francis (NY) Terriers,-13.38,0.690,
Lamar Cardinals,-13.60,0.171,
IUPUI Jaguars,-14.66,0.604,
Green Bay Phoenix,-16.50,0.312,
Hartford Hawks,-19.19,0.439,
Long Island University Sharks,-19.93,0.442,
